"","[ 더기프트 ] 직매입 상품 판매 코드 리스트 CODE
NUMBER","브랜드","제품명","옵션명","구분","품목코드","재고","가용재고","TODAY","소비기한","남은기한","판매 가능일","10/20 출고 전 기준
실 재고","","CODE
NUMBER","브랜드","품목명","구분","품목코드","","","","","","","","","","","","","","","","","",""
"","2","오설록","블루밍데이 (리뉴얼)","","원물","OSL002","","","2026. 4. 16","2027. 1. 9","  268 ","","  1,487 ","","A","이코복스","이코복스 커피 드립백 패키지_블랙","패키지","TGIKX01B1","","","","","","","","","","","","","","","","","",""
"","3","오설록","그린티 웨하스  + 공용박스","","SET","TGOSL003D1","","","2026. 4. 16","2026. 3. 25","- 22 ","","  558 ","","B","이코복스","이코복스 커피 드립백 패키지_화이트","패키지","TGIKX01B2","","","","","","","","","","","","","","","","","",""
"","4","오설록","얼그레이 웨하스 + 공용박스","","SET","TGOSL004D1","","","2026. 4. 16","2026. 3. 31","- 16 ","","  798 ","","C","테라로사","테라로사 강릉 드립백 패키지_크라프트","패키지","TGTRS01B1","","","","","","","","","","","","","","","","","",""
"","5","오설록","프리미엄 녹차와플","","원물","OSL005","","","2026. 4. 16","2026. 5. 28","  42 ","","  530 ","","D","테라로사","테라로사 강릉 드립백_화이트","패키지","TGTRS01B2","","","","","","","","","","","","","","","","","",""
"","6","오설록","말차 프레첼  + 공용박스","","SET","TGOSL006D1","","","2026. 4. 16","2026. 4. 2","- 14 ","","  705 ","","C","정수당","정수당 비타민 답례품_화이트","패키지","TGJSD04B1","","","","","","","","","","","","","","","","","",""
"","7","크렘드마롱","밤잼 미니 튜브","","SET","TGCRM01D1","","","2026. 4. 16","2028. 5. 28","  773 ","","  1,084 ","","D","정수당","정수당 비타민 답례품_블루","패키지","TGJSD04B2","","","","","","","","","","","","","","","","","",""
"","8","정수당","메이플 호두정과 (80g)","씨위드푸드 호두정과","SET","TGJSD01","","","2026. 4. 16","2026. 7. 13","  88 ","","  19,280 ","","","","","","","","","","","","","","","","","","","","","","","",""
"","9","노슈가애디드","100% 생 사과즙 120ml 10개입","","원물","TGNSG01","","","2026. 4. 16","2026. 7. 31","  106 ","","  964 ","","","","","","","","","","","","","","","","","","","","","","","",""
"","10","이코복스","커피 드립백 핸디 기프트 (1box/3ea)","","SET
3ea/box","TGIKX01","","","2026. 4. 16","2027. 8. 20","  491 ","","  1,824 ","","","","","","","","","","","","","","","","","","","","","","","",""
"","11","정수당","시그니처 허니 기프트","순밀당 꿀스틱","SET
10ea/box","TGJSD02D1","","","2026. 4. 16","2027. 8. 31","  502 ","","  9,750 ","","","","","","","","","","","","","","","","","","","","","","","",""
