"[기프트팀] 스티커 운영품목 관리표 
※ 본 문서는 매입(PB) 상품에 대해 기획/제작된 커스텀 스티커 디자인의 적용 품목, 용도, 규격, 관리코드 등을 통합 관리하기 위한 기준표입니다. ※ 
부자재 / 기타
규칙 및
구조 안내 NO","브랜드명","※ 코드 구성 개요
▪️형식 : TG+브랜드명(3)+상품번호(2)+부자재코드(2)
▪️부자재 코드 = S (스티커) 스티커 코드","타입","용도","규격(mm)","이미지","스티커 부착 위치","상품 매핑코드","조판수량","조판코드","기타","용지코드","원자재 용지명","용지가","장당","가공비 디지털인쇄","커팅","제본","1.택배비/박스제외
2.건당평균3분소요
  (박스당 50개기준)
3.주문수량에 따라 상이함 포장","합계","","","","","","","","","","","",""
"1","오설록","TGOSL01S1","A","(A)결혼 ","50*90","","","OSL002","24","블루밍데이 24조판","","","90아트","₩129","₩5","₩3","₩10","₩136","₩36","₩191","","","","","","","","","","","",""
"2","오설록","TGOSL01S2","A","(B)돌 ","50*90","","","OSL002","24","블루밍데이 24조판","","","90아트","₩129","₩5","₩3","₩10","₩136","₩36","₩191","","","","","","","","","","","",""
"3","오설록","TGOSL01S3","A","(C)환갑","50*90","","","OSL002","24","블루밍데이 24조판","","","90아트","₩129","₩5","₩3","₩10","₩136","₩36","₩191","","","","","","","","","","","",""
"4","오설록","TGOSL01S4","B","(A)결혼 ","50*90","","","OSL002","24","블루밍데이 24조판","","","90아트","₩129","₩5","₩3","₩10","₩136","₩36","₩191","","","","","","","","","","","",""
"5","오설록","TGOSL01S5","B","(B)돌 ","50*90","","","OSL002","24","블루밍데이 24조판","","","90아트","₩129","₩5","₩3","₩10","₩136","₩36","₩191","","","","","","","","","","","",""
"6","오설록","TGOSL01S6","B","(C)환갑","50*90","","","OSL002","24","블루밍데이 24조판","","","90아트","₩129","₩5","₩3","₩10","₩136","₩36","₩191","","","","","","","","","","","",""
"7","크렘드마롱","TGCMR01S1","W
(화이트)","(A)결혼 ","29*112","","","BTG_creme_78tube","36","BTG_creme","","","90아트","₩129","₩4","₩2","₩7","₩136","₩36","₩185","","","","","","","","","","","",""
"8","크렘드마롱","TGCMR01S2","B
(블루.필기체)","(B)필기체","29*112","","","BTG_creme_78tube","36","BTG_creme","","","90아트","₩129","₩4","₩2","₩7","₩136","₩36","₩185","","","","","","","","","","","",""
"9","크렘드마롱","TGCMR01S3","B
(블루.땡큐)","(C)땡큐","29*112","","","BTG_creme_78tube","36","BTG_creme","","","90아트","₩129","₩4","₩2","₩7","₩136","₩36","₩185","","","","","","","","","","","",""
"10","정수당","TGJSD01S1","옐로우","","45*45","","","TGJSD01
TGJSD04O1","54","답례품 스티커 노랑","","","80모조","₩145","₩3","₩1","₩4","₩173","₩36","₩219","₩176","","","","","","","","","","",""
